index,accuracy,ECE
0,0.0,0.04435500626289988
1,0.0,0.04435500626289988
2,0.0,0.04435500626289988
3,0.21518985979811014,0.04435500626289988
4,0.26968173752626906,0.04435500626289988
5,0.30467090971686933,0.04435500626289988
6,0.3472485735555164,0.04435500626289988
7,0.3593749959891184,0.04435500626289988
8,0.4614443027974994,0.04435500626289988
9,0.4613333271822223,0.04435500626289988
10,0.4917787669390319,0.04435500626289988
11,0.5597484188718802,0.04435500626289988
12,0.5783365458735678,0.04435500626289988
13,0.5774946798833401,0.04435500626289988
14,0.6278026765066664,0.04435500626289988
15,0.7347931694697526,0.04435500626289988
16,0.7400530307678241,0.04435500626289988
17,0.7711171452011678,0.04435500626289988
18,0.8242574053401633,0.04435500626289988
19,0.9090908903080395,0.04435500626289988
